City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yar-sale,66.83,70.83,2.37,92.0,61.0,6.2,RU,1603837334.0
dalbandin,28.89,64.41,55.22,31.0,0.0,2.51,PK,1603837334.0
ryotsu,38.08,138.43,50.0,93.0,75.0,9.17,JP,1603837086.0
bend,44.06,-121.32,71.6,10.0,1.0,5.82,US,1603837302.0
rio gallegos,-51.62,-69.22,53.6,25.0,20.0,21.92,AR,1603837335.0
hovd,48.01,91.64,29.5,78.0,74.0,0.83,MN,1603837335.0
cape town,-33.93,18.42,64.0,87.0,75.0,5.82,ZA,1603837210.0
chuy,-33.7,-53.46,61.72,94.0,100.0,14.05,UY,1603837335.0
nanortalik,60.14,-45.24,30.7,89.0,100.0,3.42,GL,1603837335.0
lebu,-37.62,-73.65,52.74,71.0,97.0,13.31,CL,1603837336.0
cururupu,-1.83,-44.87,77.11,85.0,80.0,3.6,BR,1603837336.0
pacific grove,36.62,-121.92,73.99,18.0,1.0,8.05,US,1603837327.0
hilo,19.73,-155.09,78.8,83.0,90.0,6.93,US,1603837336.0
malyye derbety,47.95,44.68,42.57,60.0,100.0,14.52,RU,1603837209.0
butaritari,3.07,172.79,81.16,66.0,100.0,5.41,KI,1603837336.0
camacha,33.08,-16.33,66.2,68.0,40.0,3.36,PT,1603837337.0
poltavka,54.37,71.76,27.45,98.0,100.0,20.49,RU,1603837337.0
caravelas,-17.71,-39.25,76.19,92.0,73.0,6.15,BR,1603837337.0
arraial do cabo,-22.97,-42.03,75.2,83.0,0.0,14.99,BR,1603837337.0
hermanus,-34.42,19.23,61.0,92.0,100.0,4.83,ZA,1603837337.0
mataura,-46.19,168.86,57.0,67.0,6.0,1.99,NZ,1603837337.0
bethel,41.37,-73.41,53.6,54.0,40.0,3.36,US,1603837199.0
general roca,-39.03,-67.58,64.4,25.0,0.0,12.75,AR,1603837338.0
asau,46.43,26.4,50.0,98.0,0.0,1.52,RO,1603837338.0
busselton,-33.65,115.33,57.99,77.0,17.0,7.29,AU,1603837338.0
ushuaia,-54.8,-68.3,46.4,42.0,20.0,11.41,AR,1603836776.0
taltal,-25.4,-70.48,62.02,66.0,22.0,7.16,CL,1603837338.0
teya,60.38,92.63,25.34,95.0,100.0,11.32,RU,1603837338.0
bredasdorp,-34.53,20.04,64.4,77.0,100.0,4.7,ZA,1603837339.0
qaanaaq,77.48,-69.36,10.63,80.0,92.0,13.13,GL,1603837339.0
broome,42.25,-75.83,48.99,75.0,90.0,2.91,US,1603837339.0
port alfred,-33.59,26.89,65.35,83.0,29.0,15.03,ZA,1603837339.0
atuona,-9.8,-139.03,78.96,72.0,1.0,20.4,PF,1603837339.0
bluff,-46.6,168.33,57.0,67.0,21.0,1.99,NZ,1603837339.0
puerto ayora,-0.74,-90.35,75.2,69.0,40.0,10.29,EC,1603837340.0
tiksi,71.69,128.87,-1.73,90.0,39.0,11.36,RU,1603837340.0
neubrandenburg,53.57,13.27,46.99,84.0,57.0,13.76,DE,1603837340.0
rikitea,-23.12,-134.97,75.38,83.0,100.0,17.0,PF,1603837340.0
mezen,65.85,44.24,39.27,97.0,100.0,9.78,RU,1603837340.0
necochea,-38.55,-58.74,62.01,71.0,42.0,7.0,AR,1603837340.0
araouane,18.9,-3.53,86.04,14.0,0.0,2.77,ML,1603837341.0
east london,-33.02,27.91,70.34,86.0,29.0,5.5,ZA,1603837341.0
mount gambier,-37.83,140.77,50.0,93.0,40.0,5.1,AU,1603837341.0
brae,60.4,-1.35,50.0,71.0,12.0,10.29,GB,1603837341.0
lerwick,60.15,-1.15,50.0,71.0,20.0,10.29,GB,1603837341.0
hofn,64.25,-15.21,37.4,79.0,100.0,21.27,IS,1603837341.0
ancud,-41.87,-73.82,48.0,87.0,90.0,17.22,CL,1603837342.0
chingirlau,51.09,54.08,29.62,93.0,0.0,5.17,KZ,1603837342.0
hithadhoo,-0.6,73.08,83.52,66.0,95.0,9.66,MV,1603837342.0
vaini,-21.2,-175.2,77.0,78.0,20.0,12.75,TO,1603837342.0
hobyo,5.35,48.53,79.14,81.0,9.0,11.43,SO,1603837342.0
georgetown,5.41,100.34,78.8,94.0,40.0,4.34,MY,1603837343.0
wattegama,6.8,81.48,75.34,90.0,78.0,2.53,LK,1603837343.0
sedro-woolley,48.5,-122.24,57.2,67.0,90.0,8.05,US,1603837343.0
ler,8.3,30.14,72.91,89.0,100.0,3.67,SS,1603837343.0
homer,59.64,-151.55,42.8,60.0,1.0,4.7,US,1603837343.0
kaitangata,-46.28,169.85,55.0,71.0,3.0,4.0,NZ,1603837343.0
kapchorwa,1.4,34.45,59.29,81.0,42.0,3.24,UG,1603837344.0
prince rupert,54.32,-130.32,50.0,93.0,75.0,2.24,CA,1603837344.0
jalu,29.03,21.55,73.15,38.0,16.0,11.56,LY,1603837344.0
kapaa,22.08,-159.32,84.0,69.0,75.0,3.36,US,1603837344.0
taoudenni,22.68,-3.98,84.15,15.0,3.0,7.99,ML,1603837344.0
kerema,-7.96,145.78,78.6,84.0,100.0,5.06,PG,1603837344.0
lima,-12.04,-77.03,66.2,72.0,75.0,13.87,PE,1603837297.0
batemans bay,-35.72,150.18,62.01,89.0,20.0,1.01,AU,1603837345.0
meulaboh,4.14,96.13,75.11,88.0,64.0,4.45,ID,1603837345.0
castro,-24.79,-50.01,64.67,58.0,0.0,4.5,BR,1603837345.0
klaksvik,62.23,-6.59,42.8,87.0,89.0,10.29,FO,1603837345.0
qaqortoq,60.72,-46.03,32.0,99.0,100.0,1.12,GL,1603837345.0
praxedis guerrero,31.37,-106.02,34.0,62.0,90.0,9.17,MX,1603837345.0
la serena,-29.91,-71.25,57.2,67.0,40.0,12.75,CL,1603837086.0
najran,17.49,44.13,60.8,26.0,0.0,2.04,SA,1603837346.0
tuktoyaktuk,69.45,-133.04,12.2,85.0,90.0,11.41,CA,1603837346.0
manfredonia,41.63,15.91,55.4,100.0,75.0,1.12,IT,1603837346.0
mumford,5.26,-0.76,78.93,86.0,68.0,8.66,GH,1603837346.0
marsa matruh,31.35,27.25,71.6,64.0,20.0,3.15,EG,1603837347.0
hobart,-42.88,147.33,55.99,81.0,75.0,1.12,AU,1603836998.0
knysna,-34.04,23.05,59.0,87.0,0.0,6.93,ZA,1603837347.0
sitka,57.05,-135.33,46.4,87.0,90.0,9.17,US,1603837347.0
da nang,16.07,108.22,75.2,100.0,90.0,21.92,VN,1603837347.0
izhma,65.01,53.91,34.12,96.0,100.0,6.51,RU,1603837347.0
la ronge,55.1,-105.28,28.4,86.0,90.0,11.41,CA,1603837348.0
tocopilla,-22.09,-70.2,64.78,51.0,19.0,5.48,CL,1603837348.0
kodiak,57.79,-152.41,46.4,49.0,20.0,10.29,US,1603837348.0
albany,42.6,-73.97,48.99,64.0,100.0,2.39,US,1603837260.0
zephyrhills,28.23,-82.18,86.0,66.0,40.0,8.43,US,1603837348.0
luderitz,-26.65,15.16,58.41,74.0,19.0,8.41,NA,1603837349.0
carnarvon,-24.87,113.63,66.2,88.0,0.0,19.46,AU,1603837349.0
tezu,27.92,96.17,70.54,57.0,7.0,3.13,IN,1603837349.0
lavrentiya,65.58,-171.0,30.83,93.0,100.0,10.42,RU,1603837349.0
maple creek,49.92,-109.48,45.14,70.0,95.0,10.38,CA,1603837349.0
sinnamary,5.38,-52.95,80.89,78.0,27.0,10.54,GF,1603837350.0
srednekolymsk,67.45,153.68,14.41,87.0,99.0,3.89,RU,1603837350.0
dharur,18.82,76.12,66.7,73.0,0.0,3.31,IN,1603837350.0
aswan,24.09,32.91,80.87,32.0,0.0,10.76,EG,1603837350.0
radyvyliv,50.13,25.26,50.16,91.0,0.0,6.69,UA,1603837350.0
ponta do sol,32.67,-17.1,66.2,68.0,40.0,3.36,PT,1603837350.0
